Trolley 2,T2 Justification,Trolley 1,T1 Justification,Footbridge 2,F2 Justification,Footbridge 1,F1 Justification
Do nothing (utilitarian),Because thats fate. ,Save many (utilitarian),,Do nothing (deontological),,Save many (utilitarian),
Action (deontological),I would alert the person ahead of me,Save many (utilitarian),So more people are able to be saved,Do nothing (deontological),I would not want to push someone and get the blame on me.,Save many (utilitarian),Many is more than one
Action (deontological),"I know self defense, and I am capable to confront and take action",Save many (utilitarian),More people will have a second chance,Do nothing (deontological?),I wouldn't be able to react or act fast enough to make a heroic move,Save many (utilitarian),
Shout to all parties to move (n/a),I feel like this option has the potential to save everyone involved if they can react in time,Save many (utilitarian),"I guess it depends on specific context, but saving many at the cost of one person seems to make sense. It could be like sacrificing one person who is sick to save everyone else with the same illness to find what works. ",Do nothing (deontological),I wouldn't willing push someone in the way of danger,Save one (deontological),I couldn't knowingly sacrifice one person 
Do nothing (utilitarian),More people live overall,Save many (utilitarian),Overall saving more people is better than saving a single person ,Do something (push the one person) (utilitarian),If I did not push that one person I would be indirectly killing the group and as I had the means to do something about it it would be my fault,Save many (utilitarian),It doesn't matter if you are indirectly or directly sacrificing someone as the overall result is the same and by choosing to actively not sacrifice directly or indirectly you are killing many
Do nothing (utilitarian),"I wouldn't have any responsibility for my actions and more people would be saved. There would be guilt for not saving the one person's life, but there would be guilt if the group if people died anyways.",Save many (utilitarian),"If at least one person has to die, I think it's better to save multiple people compared to only one.",Do something (push the one person) (utilitarian),I think it's better to save a group of people and that the guilt of multiple deaths would be worse than the guilt of one death.,Save many (utilitarian),"Multiple lives are worth more than one life, and someone has to die."
Do nothing (utilitarian),I would honestly most likely be in shock and not be able to do anything to save the person. ,Save many (utilitarian),Because its more lives saved that way ,Do nothing (deontological),I would not shove someone into their death. ,Save one (deontological),I would not be able to do something like that. 
Action (deontological),Maybe someone in the group can notice the object and get everyone out of the way but on one but myself can save the individual in front of me,Save one (deontological),"If my actions actively required sacrificing someone, I would not be able to do it, but I am not sure how I would indirectly sacrifice someone.",Do nothing (deontological),I would not be able to actively hurt someone in favor of someone else,Save one (deontological),I could not hurt someone directly
Action (deontological),To save a life,Save many (utilitarian),To save more lives,Do nothing (deontological),Not directly taking a life,None (n/a),it is not my problem and I would not directly sacrifice someone
try to save everyone (n/a),"I feel as though doing something is better than nothing, I would try my best to do something to save everyone but if I can't save them all then I can't save them all",Save many (utilitarian),"Save more lives, and at least I'm doing something to save people",try my best to save everyone without pushing him (n/a),I wouldn't deliberately put someone in harms way I would try to save everyone else in an ethical way even if I can't,Save one (deontological),I would not sacrifice someone
Do nothing (utilitarian),These types of questions are difficult. to simplify it i am only looking at the number of lives being saved and picking the one resulting in the least amount of harm.,Save many (utilitarian),Only focusing on which choice saves more lives.,Do nothing (deontological),The deliberate action of throwing someone in the objects path made me choose to do nothing. ,Save one (deontological),This really depends on the size of the group i am saving but the direct action made me choose to save one. 
Do nothing (utilitarian),To have the most number of people survive.,Save many (utilitarian),Utilitarian ethics,Do nothing (deontological),"Even if pushing the person would have a better outcome, I would not be able to take such initiative. (deontological?)","My choice would differ depending on the extent of this ""physical sacrifice""",
Do nothing (utilitarian),Saving as many lives as possible is the ideal option.,Save many (utilitarian),Saving more people would be better in the long run but would require taking action.,Do nothing (deontological),It would be difficult to actively put a person in danger without a certainty that it would save the others. ,Save one (deontological),I would have to be %100 sure it would save the other people and even then I wouldn't be able to sacrifice the one person.
